order_item_id,order_id,product_id,quantity,sales_amount
1,5112,182,4,223740
2,5297,196,2,56304
3,6901,107,5,128635
4,5932,129,2,16710
5,5794,148,3,261825
6,5280,197,4,126156
7,6475,143,2,121756
8,6295,152,3,141537
9,6998,190,3,159552
10,5415,123,3,215736
11,5261,132,1,75177
12,6418,109,5,274205
13,5123,123,3,215736
14,5280,180,1,18781
15,6745,158,4,395892
16,5940,136,4,309740
17,5351,168,3,213987
18,5451,109,3,164523
19,6237,140,2,43412
20,6617,119,5,413455
21,6855,191,2,34022
22,6184,126,5,289405
23,6752,164,2,38898
24,5178,131,4,132028
25,6756,124,5,49840
26,6002,121,2,178778
27,6212,179,4,54956
28,6715,171,4,60804
29,5572,150,1,80482
30,6496,134,4,323548
31,6508,104,2,128966
32,5508,171,3,45603
33,5890,154,5,416725
34,5456,120,5,430875
35,6938,130,2,100262
36,6872,132,5,375885
37,6840,190,1,53184
38,5856,150,1,80482
39,5083,107,4,102908
40,6503,185,5,188330
41,5069,108,4,303784
42,6088,148,4,349100
43,5982,176,1,86097
44,5927,123,4,287648
45,5493,183,1,55379
46,6144,159,1,27318
47,6420,117,4,347292
48,6946,138,2,122472
49,5272,118,3,187611
50,5606,189,2,171036
51,6327,124,1,9968
52,5033,160,4,195812
53,6371,129,3,25065
54,5332,117,4,347292
55,6758,179,5,68695
56,6531,127,5,295765
57,5050,108,4,303784
58,5950,196,2,56304
59,6791,192,4,351480
60,5379,200,3,101559
61,6284,196,4,112608
62,6442,146,1,48049
63,6763,131,1,33007
64,5789,107,3,77181
65,6088,107,1,25727
66,5608,163,4,64380
67,6542,172,3,188391
68,6430,153,5,411905
69,6111,101,5,480820
70,6628,109,2,109682
71,6614,189,1,85518
72,6271,132,3,225531
73,6507,197,1,31539
74,6055,145,3,96273
75,6819,162,1,64156
76,5228,134,4,323548
77,5749,135,4,362156
78,6268,171,1,15201
79,5749,169,3,147933
80,5359,116,5,478460
81,6444,179,1,13739
82,6149,142,2,169492
83,5284,136,3,232305
84,5489,196,5,140760
85,5233,110,4,394436
86,6511,150,5,402410
87,6785,108,2,151892
88,6543,117,2,173646
89,5657,111,3,154812
90,6839,183,3,166137
91,6032,112,4,263692
92,5568,118,1,62537
93,5130,190,3,159552
94,5708,159,4,109272
95,5996,177,5,96600
96,6079,160,1,48953
97,5963,113,5,334180
98,6390,168,5,356645
99,6843,170,3,232857
100,5926,118,5,312685
101,5754,113,1,66836
102,5386,130,4,200524
103,5179,111,1,51604
104,5801,122,2,85010
105,5591,121,1,89389
106,5224,167,2,105434
107,5566,169,1,49311
108,6428,193,2,7598
109,6017,160,2,97906
110,6792,131,2,66014
111,6067,171,1,15201
112,5601,156,4,307860
113,6986,183,5,276895
114,6909,118,2,125074
115,5971,148,3,261825
116,5861,167,4,210868
117,6511,152,1,47179
118,5598,192,2,175740
119,5129,191,1,17011
120,6786,121,2,178778
121,6710,179,5,68695
122,6321,120,3,258525
123,5844,184,5,325695
124,5703,127,3,177459
125,5996,148,5,436375
126,6364,135,5,452695
127,6725,135,5,452695
128,5912,164,4,77796
129,5623,118,5,312685
130,5271,107,3,77181
131,5352,127,3,177459
132,5465,146,4,192196
133,5762,198,3,237348
134,6577,159,1,27318
135,5304,125,3,92451
136,5583,162,4,256624
137,6959,111,2,103208
138,6267,196,2,56304
139,6458,116,5,478460
140,5585,188,2,181746
141,6994,175,2,168566
142,6719,174,2,60030
143,5331,169,2,98622
144,5240,159,1,27318
145,5649,178,5,204465
146,5260,129,4,33420
147,5534,190,3,159552
148,5378,181,2,99258
149,6152,168,1,71329
150,6364,112,3,197769
151,5705,115,2,139874
152,5764,143,4,243512
153,6106,120,2,172350
154,6093,191,3,51033
155,5249,187,1,31947
156,5829,119,4,330764
157,6574,127,2,118306
158,6942,166,4,296192
159,6901,118,3,187611
160,5320,137,1,61443
161,6987,200,5,169265
162,6999,187,5,159735
163,5679,143,3,182634
164,5971,187,3,95841
165,6986,126,5,289405
166,6366,139,2,123962
167,6638,120,5,430875
168,6493,180,4,75124
169,5694,156,1,76965
170,6499,157,4,51252
171,6844,125,1,30817
172,5286,164,5,97245
173,5240,170,3,232857
174,5051,170,4,310476
175,6265,109,2,109682
176,5914,125,3,92451
177,5190,161,3,110160
178,5113,143,5,304390
179,6314,156,2,153930
180,6195,160,5,244765
181,5455,194,3,98775
182,5401,118,1,62537
183,5172,177,5,96600
184,6740,198,4,316464
185,6387,147,1,92655
186,6999,163,5,80475
187,5808,129,2,16710
188,6005,152,3,141537
189,6236,122,5,212525
190,6048,145,1,32091
191,6861,163,3,48285
192,5815,112,2,131846
193,6467,103,4,81904
194,5758,119,4,330764
195,5764,194,1,32925
196,5583,177,3,57960
197,5720,142,3,254238
198,5913,129,5,41775
199,5180,179,2,27478
200,6491,124,4,39872
201,6519,163,4,64380
202,6646,124,4,39872
203,5592,198,2,158232
204,6651,188,4,363492
205,6493,161,4,146880
206,5286,116,5,478460
207,6225,113,1,66836
208,5295,117,2,173646
209,5622,198,4,316464
210,6777,113,5,334180
211,5687,172,1,62797
212,6912,114,5,70770
213,6549,151,4,154048
214,5182,176,1,86097
215,5839,140,3,65118
216,5849,161,2,73440
217,6139,114,4,56616
218,6455,161,5,183600
219,6547,104,2,128966
220,5409,174,2,60030
221,6705,108,4,303784
222,5593,125,5,154085
223,6005,104,1,64483
224,6686,157,3,38439
225,6710,143,5,304390
226,5623,188,4,363492
227,6146,139,4,247924
228,5460,177,1,19320
229,6621,150,1,80482
230,5316,136,3,232305
231,5615,149,4,8244
232,5255,190,3,159552
233,5855,199,2,39928
234,6008,193,2,7598
235,5059,199,1,19964
236,6567,187,3,95841
237,6010,181,1,49629
238,6227,132,3,225531
239,6191,140,4,86824
240,6159,156,4,307860
241,6779,178,3,122679
242,6287,143,4,243512
243,6996,152,1,47179
244,5765,141,5,231465
245,6502,176,5,430485
246,5036,113,3,200508
247,5334,197,5,157695
248,5120,117,2,173646
249,5655,129,4,33420
250,6799,120,2,172350
251,5732,187,2,63894
252,5109,103,3,61428
253,5740,145,4,128364
254,6304,172,3,188391
255,5100,179,3,41217
256,5598,177,5,96600
257,6309,134,1,80887
258,6053,172,2,125594
259,6570,150,2,160964
260,6567,151,1,38512
261,6227,124,2,19936
262,6114,131,3,99021
263,6787,199,3,59892
264,6694,136,3,232305
265,5556,198,3,237348
266,5197,126,5,289405
267,6188,162,3,192468
268,6687,155,2,82984
269,5027,154,2,166690
270,6062,125,3,92451
271,5764,149,4,8244
272,5844,127,3,177459
273,6887,142,2,169492
274,5210,149,2,4122
275,5317,196,5,140760
276,5453,189,2,171036
277,6629,105,5,366700
278,6257,144,5,257110
279,6733,125,5,154085
280,6460,120,5,430875
281,6439,154,1,83345
282,5855,131,4,132028
283,6877,129,1,8355
284,5239,189,2,171036
285,6892,186,1,29477
286,5983,125,3,92451
287,5639,165,3,268941
288,5285,115,4,279748
289,6823,130,5,250655
290,6072,131,3,99021
291,5353,121,3,268167
292,5059,117,1,86823
293,5456,111,2,103208
294,6755,110,2,197218
295,6410,152,2,94358
296,5630,180,2,37562
297,5430,142,2,169492
298,5161,173,4,298336
299,6415,159,1,27318
300,5160,171,1,15201
301,6587,163,4,64380
302,6552,113,4,267344
303,5088,179,2,27478
304,5221,109,1,54841
305,6625,180,5,93905
306,6215,109,1,54841
307,5961,157,1,12813
308,6861,145,3,96273
309,5089,148,1,87275
310,5618,161,1,36720
311,6546,193,1,3799
312,6603,184,1,65139
313,6885,197,5,157695
314,5421,161,5,183600
315,6846,144,2,102844
316,5379,143,3,182634
317,5060,157,1,12813
318,5299,153,3,247143
319,6944,155,5,207460
320,5713,199,3,59892
321,5329,129,5,41775
322,6600,154,5,416725
323,5496,101,5,480820
324,6168,160,1,48953
325,5203,148,5,436375
326,6564,182,1,55935
327,6084,185,2,75332
328,6466,199,2,39928
329,6975,152,3,141537
330,5352,151,5,192560
331,5009,172,1,62797
332,6893,135,2,181078
333,6886,116,5,478460
334,6744,122,4,170020
335,5751,177,5,96600
336,5380,106,4,201764
337,6380,106,1,50441
338,5371,195,3,83688
339,5778,140,4,86824
340,5439,153,5,411905
341,5467,115,4,279748
342,5232,107,3,77181
343,5254,128,4,19176
344,5226,154,5,416725
345,5279,194,4,131700
346,6562,128,3,14382
347,6444,163,3,48285
348,6142,140,1,21706
349,5169,199,3,59892
350,6012,101,1,96164
351,5789,144,3,154266
352,5936,153,5,411905
353,6508,139,3,185943
354,6408,137,4,245772
355,5463,170,5,388095
356,5835,167,3,158151
357,6752,101,4,384656
358,5387,159,1,27318
359,6833,161,4,146880
360,6924,160,3,146859
361,5368,148,1,87275
362,6381,179,4,54956
363,6377,182,1,55935
364,5812,174,4,120060
365,6071,161,1,36720
366,5245,187,2,63894
367,5809,158,4,395892
368,6424,120,5,430875
369,5209,175,2,168566
370,5133,149,3,6183
371,6998,125,2,61634
372,5694,116,2,191384
373,6219,103,4,81904
374,5252,128,2,9588
375,6717,112,4,263692
376,6486,105,4,293360
377,5571,191,5,85055
378,6216,108,3,227838
379,6549,133,4,93120
380,5730,191,4,68044
381,6366,193,5,18995
382,6946,101,4,384656
383,5993,172,5,313985
384,5572,106,2,100882
