order_id,customer_id,order_date,payment_method,order_status
5001,113,2026-05-05,UPI,Shipped
5002,16,2026-04-13,Debit Card,Shipped
5003,603,2025-10-15,Debit Card,Delivered
5004,179,2026-04-08,Debit Card,Delivered
5005,130,2024-05-24,Net Banking,Delivered
5006,764,2025-10-04,UPI,Pending
5007,460,2025-01-26,Debit Card,Delivered
5008,463,2024-10-27,Cash,Shipped
5009,969,2026-03-18,Cash,Delivered
5010,745,2025-07-05,Cash,Cancelled
5011,470,2024-08-26,UPI,Delivered
5012,491,2025-05-28,Net Banking,Pending
5013,703,2026-03-01,UPI,Pending
5014,730,2026-01-25,Net Banking,Delivered
5015,921,2025-04-01,UPI,Cancelled
5016,623,2024-07-03,Credit Card,Delivered
5017,130,2025-04-28,Debit Card,Cancelled
5018,391,2025-03-12,Cash,Cancelled
5019,465,2025-06-02,Cash,Pending
5020,102,2025-09-19,UPI,Shipped
5021,441,2024-10-13,Net Banking,Shipped
5022,424,2025-02-17,Debit Card,Pending
5023,409,2025-01-22,Net Banking,Delivered
5024,321,2024-08-23,Net Banking,Cancelled
5025,682,2025-01-06,Debit Card,Cancelled
5026,977,2025-04-20,Credit Card,Pending
5027,69,2025-12-29,UPI,Delivered
5028,96,2025-07-03,Net Banking,Delivered
5029,763,2025-03-27,Debit Card,Shipped
5030,570,2026-01-22,UPI,Cancelled
5031,687,2025-01-30,UPI,Pending
5032,363,2026-03-23,Net Banking,Delivered
5033,992,2026-01-16,Debit Card,Cancelled
5034,361,2025-05-25,UPI,Shipped
5035,159,2024-09-21,Net Banking,Shipped
5036,868,2024-09-29,UPI,Cancelled
5037,866,2025-12-31,Cash,Cancelled
5038,118,2024-12-08,Debit Card,Shipped
5039,827,2025-07-01,Net Banking,Delivered
5040,624,2025-04-16,Debit Card,Delivered
5041,185,2025-06-14,Debit Card,Cancelled
5042,944,2025-03-21,Debit Card,Cancelled
5043,7,2026-03-27,Credit Card,Shipped
5044,580,2025-09-20,Net Banking,Delivered
5045,146,2026-01-24,UPI,Delivered
5046,765,2025-10-06,Cash,Shipped
5047,386,2025-11-15,Net Banking,Pending
5048,350,2026-04-05,Credit Card,Cancelled
5049,320,2024-10-06,Debit Card,Delivered
5050,905,2025-01-10,UPI,Shipped
5051,162,2026-01-07,Cash,Delivered
5052,691,2025-02-26,UPI,Cancelled
5053,454,2024-12-05,Net Banking,Pending
5054,622,2026-01-30,Net Banking,Pending
5055,280,2024-09-15,Credit Card,Delivered
5056,354,2024-09-21,Net Banking,Delivered
5057,291,2025-04-25,Cash,Pending
5058,540,2026-02-03,Debit Card,Delivered
5059,226,2024-05-18,Net Banking,Delivered
5060,8,2025-05-18,Credit Card,Cancelled
5061,969,2024-08-29,Credit Card,Shipped
5062,783,2026-01-13,Debit Card,Cancelled
5063,336,2024-06-15,UPI,Delivered
5064,510,2024-06-17,Net Banking,Shipped
5065,133,2026-01-03,Net Banking,Shipped
5066,513,2024-08-25,Cash,Cancelled
5067,74,2025-01-13,Net Banking,Delivered
5068,447,2025-05-18,UPI,Pending
5069,944,2024-08-17,UPI,Cancelled
5070,590,2025-05-05,Net Banking,Pending
5071,727,2025-03-15,Net Banking,Cancelled
5072,118,2024-08-18,Net Banking,Delivered
5073,990,2026-01-29,Debit Card,Shipped
5074,821,2024-06-01,Cash,Pending
5075,852,2025-02-01,Debit Card,Delivered
5076,448,2025-03-15,UPI,Shipped
5077,447,2025-08-22,Cash,Pending
5078,537,2024-11-17,UPI,Pending
5079,892,2025-09-10,Debit Card,Cancelled
5080,227,2025-03-14,Debit Card,Shipped
5081,79,2025-02-06,Cash,Delivered
5082,544,2025-03-01,Cash,Shipped
5083,928,2026-01-21,Debit Card,Cancelled
5084,745,2024-12-13,Credit Card,Shipped
5085,106,2025-01-01,Credit Card,Cancelled
5086,203,2025-05-24,Credit Card,Shipped
5087,779,2024-06-30,UPI,Shipped
5088,975,2025-10-27,Net Banking,Pending
5089,773,2025-09-23,Cash,Pending
5090,698,2025-05-23,Cash,Cancelled
5091,885,2025-06-15,Debit Card,Shipped
5092,451,2025-11-09,UPI,Pending
5093,453,2024-09-16,Debit Card,Cancelled
5094,606,2024-11-20,UPI,Cancelled
5095,520,2026-03-05,UPI,Cancelled
5096,473,2026-02-24,Net Banking,Delivered
5097,59,2025-09-11,Debit Card,Cancelled
5098,79,2025-10-18,UPI,Pending
5099,474,2024-07-03,Cash,Delivered
5100,461,2024-12-27,Cash,Shipped
5101,330,2024-07-22,Cash,Pending
5102,514,2024-09-03,Credit Card,Delivered
5103,462,2025-02-22,UPI,Cancelled
5104,732,2024-11-18,UPI,Shipped
5105,41,2025-08-28,Credit Card,Pending
5106,450,2024-09-05,Cash,Shipped
5107,373,2025-08-16,Debit Card,Cancelled
5108,397,2024-11-03,Net Banking,Cancelled
5109,696,2026-03-27,Cash,Delivered
5110,809,2025-08-27,Debit Card,Delivered
5111,338,2024-11-28,UPI,Pending
5112,291,2025-05-28,Debit Card,Shipped
5113,342,2026-05-14,UPI,Shipped
5114,939,2025-06-26,Debit Card,Cancelled
5115,991,2024-12-10,Net Banking,Shipped
5116,610,2024-05-17,UPI,Cancelled
5117,573,2025-03-20,Net Banking,Cancelled
5118,833,2025-10-21,Credit Card,Delivered
5119,662,2024-10-15,Net Banking,Cancelled
5120,19,2024-10-19,Debit Card,Cancelled
5121,185,2024-10-19,Credit Card,Cancelled
5122,971,2025-10-11,Net Banking,Shipped
5123,232,2025-11-23,Credit Card,Shipped
5124,80,2025-03-22,Debit Card,Delivered
5125,520,2024-09-18,Cash,Delivered
5126,678,2024-10-28,Debit Card,Shipped
5127,612,2025-12-20,Net Banking,Shipped
5128,167,2025-10-19,Credit Card,Shipped
5129,739,2025-05-14,Net Banking,Delivered
5130,421,2024-07-31,Debit Card,Shipped
5131,993,2024-07-17,Net Banking,Cancelled
5132,771,2025-09-20,Net Banking,Shipped
5133,547,2024-09-22,Credit Card,Cancelled
5134,989,2024-08-11,Net Banking,Shipped
5135,377,2025-07-26,Cash,Pending
5136,473,2024-08-22,Debit Card,Pending
5137,515,2024-10-16,Cash,Pending
5138,990,2025-08-29,Credit Card,Shipped
5139,821,2026-01-03,Cash,Shipped
5140,894,2025-03-29,Debit Card,Delivered
5141,657,2025-12-22,Net Banking,Cancelled
5142,568,2025-03-23,UPI,Delivered
5143,292,2026-04-03,UPI,Shipped
5144,280,2026-03-03,Net Banking,Shipped
5145,851,2025-07-02,Net Banking,Delivered
5146,970,2025-11-20,Credit Card,Pending
5147,906,2026-04-30,Debit Card,Delivered
5148,425,2025-02-23,UPI,Pending
5149,515,2025-06-07,Debit Card,Shipped
5150,396,2025-05-06,UPI,Cancelled
5151,230,2026-01-18,UPI,Cancelled
5152,954,2024-06-30,UPI,Cancelled
5153,811,2025-07-11,Credit Card,Shipped
5154,40,2024-08-23,Debit Card,Pending
5155,713,2026-05-02,Credit Card,Pending
5156,460,2025-01-08,Cash,Delivered
5157,928,2024-06-21,UPI,Delivered
5158,263,2025-11-14,Credit Card,Shipped
5159,562,2026-01-22,Cash,Pending
5160,114,2026-03-07,Debit Card,Shipped
5161,309,2025-01-24,UPI,Delivered
5162,245,2024-09-16,Net Banking,Pending
5163,65,2025-07-09,UPI,Pending
5164,612,2024-06-04,Cash,Delivered
5165,648,2025-04-06,Cash,Shipped
5166,736,2025-08-29,Credit Card,Cancelled
5167,440,2025-03-01,UPI,Cancelled
5168,247,2025-02-26,Cash,Pending
5169,192,2024-06-15,UPI,Cancelled
5170,70,2025-02-19,Cash,Delivered
5171,400,2026-04-02,Net Banking,Delivered
5172,651,2026-02-19,Net Banking,Cancelled
5173,260,2026-03-05,UPI,Cancelled
